cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,VCCPSPLL,VCCBRAM,VCCPSDDRPLL,VCCINT,VCCPSDDR,total_power
1199999,1199999,1199999,1199999,34829,34850,43584,755610,187144,3165000,
1199999,1199999,1199999,1199999,34858,34768,43560,756371,193104,3090000,
1199999,1199999,1199999,1199999,34858,34768,43560,776699,249900,3403000,
1199999,1199999,1199999,1199999,34829,34768,43560,755610,202640,3240000,
1199999,1199999,1199999,1199999,34858,34768,43560,754677,184760,3127000,
1199999,1199999,1199999,1199999,34858,34850,43560,755524,194296,3102000,
