"PS Power(W)","PL Power(W)","MGT Power(W)","Total Power(W)"
1.77574,1.13692,0.185582,3.09824
1.78761,1.13244,0.184678,3.10473
1.77925,1.13254,0.182283,3.09407
1.78266,1.13534,0.184732,3.10273
1.79314,1.13339,0.182322,3.10886
1.79161,1.13876,0.188035,3.11841
1.77125,1.14412,0.191303,3.10667
1.79775,1.13525,0.1856,3.11861
1.79203,1.13903,0.188875,3.11993
1.76985,1.13493,0.188025,3.0928
1.79458,1.13524,0.186544,3.11636
1.79004,1.13517,0.184685,3.10989
1.77299,1.13884,0.186595,3.09843
1.77765,1.14395,0.188885,3.11049
1.78661,1.14208,0.187477,3.11616
1.78018,1.13587,0.186815,3.10286
1.77995,1.13343,0.183853,3.09724
1.77143,1.13496,0.184758,3.09116
1.78708,1.13923,0.186359,3.11266
1.79402,1.13676,0.185608,3.11639
1.79749,1.13807,0.184732,3.1203
1.79658,1.14372,0.187145,3.12744
1.79413,1.13319,0.185582,3.11291
1.77613,1.14215,0.188974,3.10726
1.78641,1.14136,0.188058,3.11582
1.77801,1.13755,0.184725,3.10029
1.77736,1.13687,0.186815,3.10104
1.7711,1.13847,0.190075,3.09965
1.78451,1.13913,0.188908,3.11255
1.77667,1.13886,0.185917,3.10144
1.77777,1.13424,0.185608,3.09762
1.77446,1.13831,0.190736,3.10351
1.77782,1.12829,0.1842,3.09031
1.77496,1.13911,0.188875,3.10294
1.78953,1.13783,0.1889,3.11627
1.78687,1.1311,0.18234,3.10031
1.77581,1.13439,0.184367,3.09457
1.78921,1.12956,0.181116,3.09988
1.78253,1.13672,0.188941,3.10819
1.7716,1.13733,0.18886,3.09779
