cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,VCCPSPLL,VCCBRAM,VCCPSDDRPLL,VCCINT,VCCPSDDR,total_power
1199999,1199999,1199999,1199999,34858,34768,43584,756371,188336,3165000,
1199999,1199999,1199999,1199999,34858,34850,43560,756371,191912,3102000,
1199999,1199999,1199999,1199999,34858,34768,43584,758157,188336,3165000,
1199999,1199999,1199999,1199999,34829,34768,43560,755524,191912,3127000,
1199999,1199999,1199999,1199999,34858,34768,43560,755524,202640,3203000,
1199999,1199999,1199999,1199999,34829,34768,43560,757308,184915,3115000,
1199999,1199999,1199999,1199999,34858,34768,43560,758157,187144,3090000,
