cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,VCCPSPLL,VCCBRAM,VCCPSDDRPLL,VCCINT,VCCPSDDR,total_power
1199999,1199999,1199999,1199999,34858,34850,43584,758912,188336,3127000,
1199999,1199999,1199999,1199999,34858,34768,45375,757308,183722,3040000,
1199999,1199999,1199999,1199999,34858,35616,43584,759855,240380,3303000,
1199999,1199999,1199999,1199999,34858,34768,43584,863264,259202,3384000,
1199999,1199999,1199999,1199999,34858,35700,43560,846846,246123,3390000,
1199999,1199999,1199999,1199999,34858,35700,43560,858690,243745,3372000,
1199999,1199999,1199999,1199999,34858,34768,43560,853088,245140,3385000,
1199999,1199999,1199999,1199999,34858,34768,45400,756459,189528,3127000,
1199999,1199999,1199999,1199999,34858,34768,43560,761553,187144,3077000,
